Class ID,class,order,family,genus,species,image count,Geographical Spread,Role in Ecosystem,Size Distribution
1293,Insecta,Odonata,Libellulidae,Orthetrum,coerulescens,1989,"Europe, North Africa, Western Asia, Central Asia, South Asia",Predator,40-45 millimeters
1294,Insecta,Odonata,Libellulidae,Orthetrum,luzonicum,824,"Philippines, China, India, Vietnam, Japan",Predator,Approximately 40-50 millimeters
1295,Insecta,Odonata,Libellulidae,Orthetrum,glaucum,2072,"Australia, India, China, Japan, New Guinea",Predator,Approximately 45 to 50 millimeters
1296,Insecta,Odonata,Libellulidae,Orthetrum,chrysostigma,847,"Northern Africa, Southern Europe, Middle East, West Asia",Predator,40-50 mm
1297,Insecta,Odonata,Libellulidae,Orthetrum,chrysis,1304,"Philippines, Japan, China, Taiwan, Vietnam",Predator,Approximately 45-50 millimeters
1298,Insecta,Odonata,Libellulidae,Pachydiplax,longipennis,38094,"United States, Mexico, Bahamas, Jamaica, Turks and Caicos Islands",predator,30-50 millimeters
1299,Insecta,Odonata,Libellulidae,Palpopleura,lucia,776,"South Africa, Zimbabwe, Mozambique, Malawi, Tanzania",Predator,Approximately 40-50 millimeters
1300,Insecta,Odonata,Libellulidae,Paltothemis,lineatipes,967,"United States, Mexico, Central America, South America, and the Caribbean",Predator,Body length approximately 35-40 millimeters
1301,Insecta,Odonata,Libellulidae,Pantala,flavescens,7254,"India, Australia, Africa, Americas, Southern Europe","Predator, Pollinator",Approximately 50 millimeters
1302,Insecta,Odonata,Libellulidae,Pantala,hymenaea,2064,"North America, Central America, South America, Asia, Australia",Predator,Approximately 50 millimeters
1303,Insecta,Odonata,Libellulidae,Perithemis,intensa,1419,"Mexico, Guatemala, Belize, Honduras, El Salvador",Predator,Approximately 19-30 millimeters
1304,Insecta,Odonata,Libellulidae,Perithemis,tenera,13439,"United States, Canada, Mexico, Bahamas, Cuba",Predator,Approximately 19-29 millimeters
1305,Insecta,Odonata,Libellulidae,Plathemis,lydia,27836,"United States, Canada, Mexico, Panama, Bahamas",Predator,Approximately 40 to 50 millimeters
1306,Insecta,Odonata,Libellulidae,Potamarcha,congener,1142,"India, China, Indonesia, Thailand, Vietnam",Predator,Approximately 40-50 millimeters
1307,Insecta,Odonata,Libellulidae,Pseudoleon,superbus,1142,"United States, Mexico, Central America, South America, Caribbean",Predator,63 to 70 mm
1308,Insecta,Odonata,Libellulidae,Pseudothemis,zonata,379,"Philippines, Indonesia, India, Japan, Thailand",Predator,Body length approximately 40-45 millimeters
1309,Insecta,Odonata,Libellulidae,Rhyothemis,variegata,966,"India, China, Japan, Australia, Malaysia",Predator,Approximately 40–50 mm
1310,Insecta,Odonata,Libellulidae,Rhyothemis,graphiptera,752,"Australia, Papua New Guinea, New Caledonia, Solomon Islands, Vanuatu",Indicator species,Wingspan ranges from 60 to 70 millimeters
1311,Insecta,Odonata,Libellulidae,Rhyothemis,phyllis,1305,"Australia, New Guinea, Solomon Islands, Philippines, Indonesia",Predator,Approximately 40 millimeters
1312,Insecta,Odonata,Libellulidae,Sympetrum,sanguineum,5943,"Europe, Western Asia, Northern Africa",Predator,30-40 millimeters
1313,Insecta,Odonata,Libellulidae,Sympetrum,danae,3107,"United Kingdom, Ireland, Scandinavia, Baltic States, Northern Russia",Predator,29-34 millimeters
1314,Insecta,Odonata,Libellulidae,Sympetrum,semicinctum,2643,"United States, Canada, Mexico, Northern Central America, Northern South America",Predator,Approximately 30-35 mm
1315,Insecta,Odonata,Libellulidae,Sympetrum,fonscolombii,5517,"Southern Europe, Northern Africa, Western Asia, Southwestern Asia, Central Asia",Predator,34-40 mm
1316,Insecta,Odonata,Libellulidae,Sympetrum,corruptum,12140,"Western North America, Mexico, Central America, South America, and occasionally the Eastern United States",Predator,Approximately 38 to 50 millimeters
1317,Insecta,Odonata,Libellulidae,Sympetrum,pallipes,1807,"United States, Canada, Mexico, Puerto Rico, Virgin Islands",Predator,30-41 mm
1318,Insecta,Odonata,Libellulidae,Sympetrum,meridionale,1315,"Spain, France, Italy, Greece, Balkan Peninsula",Predator,Approximately 30-40 millimeters
1319,Insecta,Odonata,Libellulidae,Sympetrum,costiferum,1076,"North America, Canada, United States, Mexico, Central America",Predator,Approximately 30 to 40 millimeters
1320,Insecta,Odonata,Libellulidae,Sympetrum,striolatum,7308,"Europe, Western Asia, Northern Africa, Iceland, Greenland",Predator,Approximately 30-40 millimeters
1321,Insecta,Odonata,Libellulidae,Sympetrum,flaveolum,1972,"Northern Europe, Asia, occasionally Central Europe and the British Isles",Predator,29-34 millimeters
1322,Insecta,Odonata,Libellulidae,Sympetrum,ambiguum,1874,"Canada, United States, Mexico",Predator,30 to 38 millimeters
1323,Insecta,Odonata,Libellulidae,Sympetrum,pedemontanum,931,"Europe, Asia, Northern Africa",Predator,35–40 mm
1324,Insecta,Odonata,Libellulidae,Sympetrum,vulgatum,3067,"Europe, Asia, Northern Africa, Alaska",Predator,29-34 mm
1325,Insecta,Odonata,Libellulidae,Sympetrum,obtrusum,2872,"Canada, United States, Mexico, Guatemala, Honduras",Predator,25 to 35 millimeters
1326,Insecta,Odonata,Libellulidae,Sympetrum,illotum,2819,"Western North America, California, Oregon, Washington, British Columbia, Northern Mexico",Predator,Approximately 38 to 50 millimeters
1327,Insecta,Odonata,Libellulidae,Sympetrum,internum,678,"Northeastern United States, Southeastern Canada, Great Lakes region, North Dakota, New England",Predator,Approximately 30-35 millimeters
1328,Insecta,Odonata,Libellulidae,Sympetrum,vicinum,12091,"United States, Canada, Northern Mexico, Great Lakes, Northeastern U.S.",Predator,Approximately 30 to 35 millimeters
1329,Insecta,Odonata,Libellulidae,Tholymis,tillarga,1212,"Africa, Southern Europe, South Asia, and Australia",Predator,Wing span of approximately 70-80 mm
1330,Insecta,Odonata,Libellulidae,Tramea,onusta,3811,"United States, Mexico, Central America, South America, West Indies",Predator,Approximately 50 millimeters
1331,Insecta,Odonata,Libellulidae,Tramea,carolina,2204,"United States, Mexico, Central America, West Indies, South America",Predator,Approximately 40 to 50 millimeters
1332,Insecta,Odonata,Libellulidae,Tramea,lacerata,5576,"United States, Mexico, Central America, West Indies, South America",Predator,Approximately 40 to 50 millimeters
1333,Insecta,Odonata,Libellulidae,Trithemis,aurora,3477,"India, Bangladesh, China, Japan, Malaysia",Predator,40-50 millimeters
1334,Insecta,Odonata,Libellulidae,Trithemis,annulata,2063,"Africa, Southern Europe, Southwest Asia, Malta, Cyprus",Predator,40-50 mm
1335,Insecta,Odonata,Libellulidae,Trithemis,pallidinervis,628,"India, Sri Lanka, Myanmar, Thailand, Laos",Predator,"Body length 42-48 mm, Wingspan approx. 70 mm"
1336,Insecta,Odonata,Libellulidae,Trithemis,kirbyi,908,"Sub-Saharan Africa, Southwestern Asia, Indian subcontinent, Southern Europe",Predator,Approximately 40-50 millimeters
1337,Insecta,Odonata,Libellulidae,Trithemis,festiva,1549,"India, China, Vietnam, Thailand, Malaysia",Predator,About 40 mm
1338,Insecta,Odonata,Libellulidae,Trithemis,arteriosa,1648,"Africa, Sicily, South Portugal, South Spain, Cyprus",Predator,40-50 millimeters
1339,Insecta,Odonata,Libellulidae,Urothemis,signata,658,"India, Sri Lanka, Thailand, Myanmar, Indonesia",Predator,Approximately 40-50 millimeters
1340,Insecta,Lepidoptera,Limacodidae,Acharia,stimulea,1825,"Eastern North America, Mexico, Down to Central America",Pest,20-35 mm
1341,Insecta,Lepidoptera,Limacodidae,Apoda,biguttata,564,Enter comma-separated list of top 5 places where this insect is found,"Classify this insect into one of the following: pest, predator, pollinator, parasitoid, decomposer, indicator species, invasive species",Enter size in millimeters when the insect is an adult
1342,Insecta,Lepidoptera,Limacodidae,Apoda,y-inversum,240,Enter comma separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeter when the insect is adult
1343,Insecta,Lepidoptera,Limacodidae,Euclea,incisa,862,"United States, Canada, Mexico, Central America, South America",Pollinator,Approximately 20-30 mm in wingspan
1344,Insecta,Lepidoptera,Limacodidae,Euclea,delphinii,1819,"Southeast United States, Mexico, Central America, South America",Pest,Size ranges up to 30 millimeters when the insect is adult
1345,Insecta,Lepidoptera,Limacodidae,Isa,textula,940,"United States, Canada, Mexico, Costa Rica, Panama",Pest,20-30 millimeters
1346,Insecta,Lepidoptera,Limacodidae,Isochaetes,beutenmuelleri,614,"Eastern United States, New Jersey, Florida, Texas, Illinois, Missouri",,Not specified
1347,Insecta,Lepidoptera,Limacodidae,Lithacodes,fasciola,1457,"Eastern United States, Ontario, Quebec, Nova Scotia, Florida, Texas",Decomposer,The wingspan is approximately 20-30 mm.
1348,Insecta,Lepidoptera,Limacodidae,Parasa,chloris,464,"India, Nepal, Myanmar, Thailand, China",Decomposer,20-30 millimeters
1349,Insecta,Lepidoptera,Limacodidae,Phobetron,pithecium,616,"United States, Canada, Mexico, Costa Rica, Panama",Decomposer,13-30 mm
1350,Insecta,Lepidoptera,Limacodidae,Prolimacodes,badia,1211,"United States, Canada, Mexico, Costa Rica, Panama",Decomposer,Approximately 20 millimeters
1351,Insecta,Lepidoptera,Limacodidae,Tortricidia,testacea,513,"Eastern North America, Northeastern United States, Southeastern Canada, Midwestern United States, Appalachian region","The exact ecological role of Tortricidia testacea is not well-documented, but, in general, moths serve as pollinators and are also a food source for other animals.","The size range is not readily available since specific size data for Tortricidia testacea is scarce without expert entomological resources; however, adult Limacodidae moths typically range from 10 to 20 millimeters."
1352,Insecta,Coleoptera,Lucanidae,Dorcus,parallelipipedus,5281,"Europe, United Kingdom, France, Germany, Italy, Spain",Decomposer,24-40 mm
1353,Insecta,Coleoptera,Lucanidae,Lucanus,cervus,5852,"United Kingdom, Germany, France, Spain, Italy",Decomposer,35-75 millimeters
1354,Insecta,Coleoptera,Lucanidae,Lucanus,elaphus,671,"United States, Canada, Mexico, Guatemala, Honduras",Decomposer,50-80mm
1355,Insecta,Coleoptera,Lucanidae,Lucanus,capreolus,3218,"Eastern North America, Southeastern Canada, Midwestern United States, Northeastern United States, Southern United States",Decomposer,20 to 40 mm
1356,Insecta,Coleoptera,Lucanidae,Serrognathus,titanus,38,Enter comma separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, indicator species, invasive species",Enter size in millimeter when the insect is adult
1357,Insecta,Lepidoptera,Lycaenidae,Acytolepis,puspa,1136,"India, Southeast Asia, Australia, Japan, Malaysia",Pollinator,Approximately 30-40 millimeters in wingspan
1358,Insecta,Lepidoptera,Lycaenidae,Anthene,emolus,637,"India, Sri Lanka, Myanmar, Philippines, Australia",Pollinator,20-30 millimeters
1359,Insecta,Lepidoptera,Lycaenidae,Aricia,cramera,676,"Spain, Portugal, France, Morocco, Algeria",Pollinator,Approximately 30-35 millimeters wingspan when the insect is adult
1360,Insecta,Lepidoptera,Lycaenidae,Aricia,agestis,3172,"United Kingdom, France, Spain, Italy, Greece",Pollinator,Approximately 25-30 millimeters wingspan when the insect is adult
1361,Insecta,Lepidoptera,Lycaenidae,Atlides,halesus,2598,"United States, Mexico, Central America, Colombia, Venezuela",Pollinator,Approximately 25 to 35 millimeters
1362,Insecta,Lepidoptera,Lycaenidae,Brephidium,exilis,5947,"United States, Mexico, Central America, South America, Caribbean",Pollinator,12-20 mm
1363,Insecta,Lepidoptera,Lycaenidae,Cacyreus,marshalli,2380,"South Africa, Southern Europe, Mediterranean basin, Canary Islands, Great Britain",Pest,23-32 millimeters
1364,Insecta,Lepidoptera,Lycaenidae,Callophrys,augustinus,1605,"Canada, United States, Northern Mexico, Great Lakes, Appalachian Mountains",Pollinator,16-27 mm
1365,Insecta,Lepidoptera,Lycaenidae,Callophrys,rubi,2530,"Europe, North Africa, Asia Minor, Central Asia, Siberia",Pollinator,Approximately 15 mm wingspan
1366,Insecta,Lepidoptera,Lycaenidae,Callophrys,niphon,1118,"United States, Southern Canada, Northeast Asia, Japan, Korea",Pollinator,Approximately 20-35 mm wingspan
1367,Insecta,Lepidoptera,Lycaenidae,Callophrys,henrici,748,"United States, Canada, Mexico, Panama, Colombia",Pollinator,Approximately 25 to 35 millimeters
1368,Insecta,Lepidoptera,Lycaenidae,Callophrys,eryphon,641,"United States, Canada, Mexico, Guatemala, Honduras",Pollinator,20-30 millimeters
1369,Insecta,Lepidoptera,Lycaenidae,Callophrys,dumetorum,620,"Coastal areas of California, Southern Oregon, Baja California, Mexico, Pacific Northwest",Pollinator,Approximately 25-30 millimeters
1370,Insecta,Lepidoptera,Lycaenidae,Callophrys,gryneus,3147,"United States, Canada, Mexico, Panama, Colombia",Pollinator,Approximately 20-30 millimeters
1371,Insecta,Lepidoptera,Lycaenidae,Calycopis,cecrops,5016,"Southeastern United States, Texas, Florida, North Carolina, New Jersey, Massachusetts",Pollinator,Approximately 25-30 millimeters
1372,Insecta,Lepidoptera,Lycaenidae,Calycopis,isobeon,1395,"Mexico, Brazil, Argentina, Uruguay, United States",Pollinator,Not specified
1373,Insecta,Lepidoptera,Lycaenidae,Castalius,rosimon,1438,"India, Sri Lanka, Myanmar, Indonesia, Philippines",Pollinator,About 25 to 35 millimeters
1374,Insecta,Lepidoptera,Lycaenidae,Catochrysops,strabo,708,"India, Myanmar, Thailand, Malaysia, Indonesia",Pollinator,Approximately 30-40 millimeters
1375,Insecta,Lepidoptera,Lycaenidae,Celastrina,neglecta,4219,"United States, Canada, Mexico, Puerto Rico, Virgin Islands",Pollinator,22-32 millimeters
1376,Insecta,Lepidoptera,Lycaenidae,Celastrina,lucia,2465,"Canada, United States, Alaska, Michigan, Maine",pollinator,25-30 millimeters
1377,Insecta,Lepidoptera,Lycaenidae,Celastrina,argiolus,5931,"United Kingdom, Ireland, Denmark, France, Spain",Pollinator,15-17 millimeters
1378,Insecta,Lepidoptera,Lycaenidae,Celastrina,echo,4380,"United States, Canada, Alaska, California, Oregon",Pollinator,20-30 millimeters
1379,Insecta,Lepidoptera,Lycaenidae,Celastrina,ladon,675,"United States, Canada, Mexico, Guatemala, Honduras",Pollinator,Approximately 20 to 35 millimeters
1380,Insecta,Lepidoptera,Lycaenidae,Chilades,lajus,907,"Australia, India, Myanmar, Singapore, Thailand",Pollinator,About 20 to 30 millimeters
1381,Insecta,Lepidoptera,Lycaenidae,Chilades,pandava,240,"India, Southeast Asia, Australia, Samoa, Fiji",Pollinator,15-25 millimeters
1382,Insecta,Lepidoptera,Lycaenidae,Cigaritis,lohita,432,"India, Myanmar, Thailand, Laos, Vietnam",Pollinator,Approximately 25 to 30 millimeters
1383,Insecta,Lepidoptera,Lycaenidae,Cigaritis,vulcanus,509,"India, Nepal, Sri Lanka, Myanmar, and Southeast Asia",Pollinator,25-30 mm wingspan as an adult
1384,Insecta,Lepidoptera,Lycaenidae,Cupido,minimus,1099,"United Kingdom, Spain, Russia, Scandinavia, Italy",Pollinator,18-27 millimeters
1385,Insecta,Lepidoptera,Lycaenidae,Cupido,comyntas,15846,"Canada, United States, Mexico, Bahamas, and Cuba",Pollinator,18-34 millimeters
1386,Insecta,Lepidoptera,Lycaenidae,Cupido,amyntula,1100,"Canada, United States, Mexico",Pollinator,Approximately 18-28 millimeters
1387,Insecta,Lepidoptera,Lycaenidae,Cupido,argiades,1953,"Europe, Asia, North Africa, Japan, Korea",Pollinator,18-27 mm wingspan
1388,Insecta,Lepidoptera,Lycaenidae,Cyaniris,semiargus,1577,"Europe, Central Asia, China, Mongolia, Korea, Japan",Pollinator,The wingspan ranges from 28 to 36 millimeters
1389,Insecta,Lepidoptera,Lycaenidae,Echinargus,isola,5128,"United States, Mexico, Canada, Guatemala, Bahamas",Pollinator,18-29 mm
1390,Insecta,Lepidoptera,Lycaenidae,Eooxylides,tharis,366,"India, Myanmar, Malaysia, Singapore, Indonesia",Pollinator,40-50 mm
1391,Insecta,Lepidoptera,Lycaenidae,Euchrysops,cnejus,1056,"India, Pakistan, Nepal, Sri Lanka, Myanmar",Pollinator,13-19 mm
1392,Insecta,Lepidoptera,Lycaenidae,Eumaeus,atala,949,"Florida, Bahamas, Cuba, Cayman Islands, Turks and Caicos Islands",Pollinator,37-41 millimeters
1393,Insecta,Lepidoptera,Lycaenidae,Euphilotes,bernardino,540,"California, Nevada, Arizona, Utah, New Mexico",Pollinator,Approximately 20-30 mm
1394,Insecta,Lepidoptera,Lycaenidae,Favonius,quercus,747,"United Kingdom, France, Spain, Portugal, Ireland",Pollinator,30-35mm wingspan
1395,Insecta,Lepidoptera,Lycaenidae,Feniseca,tarquinius,712,"Canada, United States, Mexico",Predator,Approximately 32 to 38 millimeters
1396,Insecta,Lepidoptera,Lycaenidae,Glaucopsyche,alexis,742,"Southern and Central Europe, Russia, Asia Minor, Iraq, Iran, Central Asia",Pollinator,30-34 mm wingspan
1397,Insecta,Lepidoptera,Lycaenidae,Glaucopsyche,lygdamus,4828,"United States, Canada, Mexico, Central America, Colombia",Pollinator,18-28 mm
1398,Insecta,Lepidoptera,Lycaenidae,Habrodais,grunus,400,Enter comma separated list of top 5 places where this insect is found,Pollinator,Enter size in millimeter when the insect is adult
1399,Insecta,Lepidoptera,Lycaenidae,Heliophorus,epicles,494,"India, Nepal, Bhutan, Myanmar, China",Pollinator,Approximately 30-40 millimeters in wingspan
1400,Insecta,Lepidoptera,Lycaenidae,Heliophorus,ila,266,"India, Nepal, Bhutan, Myanmar, China",Pollinator,Wingspan approximately 25-30 millimeters
1401,Insecta,Lepidoptera,Lycaenidae,Hemiargus,ceraunus,5541,"United States, Mexico, Central America, South America, West Indies",Pollinator,20-35 mm
1402,Insecta,Lepidoptera,Lycaenidae,Hypolycaena,erylus,648,"India, Myanmar, Thailand, Malaysia, Indonesia",Pollinator,Approximately 30-40 millimeters
1403,Insecta,Lepidoptera,Lycaenidae,Icaricia,saepiolus,1112,"Canada, United States, Alaska, California, Nevada",Pollinator,Approximately 22 to 35 millimeters
1404,Insecta,Lepidoptera,Lycaenidae,Icaricia,lupini,783,"Western United States, British Columbia, Oregon, California, Nevada, Utah",Pollinator,Approximately 20-30 mm wingspan when the insect is adult
1405,Insecta,Lepidoptera,Lycaenidae,Icaricia,acmon,4881,"United States, Canada, Mexico, Oregon, California",Pollinator,25-35 mm
1406,Insecta,Lepidoptera,Lycaenidae,Icaricia,icarioides,2052,"San Francisco Peninsula, Marin County, San Bruno Mountain, Twin Peaks, Fort Baker",Pollinator,Approximately 20-23 millimeters
1407,Insecta,Lepidoptera,Lycaenidae,Jamides,alecto,528,"India, Sri Lanka, Myanmar, Thailand, Malaysia, Indonesia, Philippines, Australia",Pollinator,Approximately 30-40 millimeters wingspan when the insect is adult
1408,Insecta,Lepidoptera,Lycaenidae,Jamides,celeno,1418,"India, Sri Lanka, Myanmar, Indonesia, Philippines",Pollinator,Approximately 30 to 40 millimeters
1409,Insecta,Lepidoptera,Lycaenidae,Jamides,bochus,801,"Australia, India, Philippines, Thailand, Vietnam",Pollinator,Approximately 20 to 30 millimeters
1410,Insecta,Lepidoptera,Lycaenidae,Lampides,boeticus,3944,"Australia, Africa, South Asia, Southeast Asia, Southern Europe",Pest,Approximately 25 to 30 millimeters
1411,Insecta,Lepidoptera,Lycaenidae,Leptotes,pirithous,1732,"Southern Europe, Africa, South and Southeast Asia, Australia",Pollinator,Approximately 25 to 30 millimeters
1412,Insecta,Lepidoptera,Lycaenidae,Leptotes,marina,5629,"Southwestern United States, Mexico, Central America, Colombia, Venezuela",Pollinator,25-35 mm
1413,Insecta,Lepidoptera,Lycaenidae,Leptotes,cassius,2019,"Florida, Texas, South and Central America, West Indies, Mexico",Pollinator,Approximately 20-35 millimeters
1414,Insecta,Lepidoptera,Lycaenidae,Leptotes,plinius,1066,"India, Sri Lanka, Southeast Asia, Australia, Pacific Islands",Pollinator,20-30 mm
1415,Insecta,Lepidoptera,Lycaenidae,Loxura,atymnus,599,"India, Myanmar, Thailand, Malaysia, Indonesia",Pollinator,About 30-40 millimeters in wingspan
1416,Insecta,Lepidoptera,Lycaenidae,Lycaena,phlaeas,13490,"Europe, North America, Asia, North Africa, Ireland",Pollinator,Approximately 12-16 millimeters
1417,Insecta,Lepidoptera,Lycaenidae,Lycaena,dispar,1739,"United Kingdom, Netherlands, Germany, Poland, Russia",pollinator,40-50 millimeters
1418,Insecta,Lepidoptera,Lycaenidae,Lycaena,helloides,240,"United States, Canada, Mexico, Costa Rica, Panama",Pollinator,12 to 23 mm
1419,Insecta,Lepidoptera,Lycaenidae,Lycaena,hyllus,240,"United States, Canada, Mexico, Cuba, The Bahamas",Pollinator,Approximately 25 to 35 millimeters
1420,Insecta,Lepidoptera,Lycaenidae,Lycaena,alciphron,690,"Europe, Turkey, Caucasus, Transcaucasia, Northern Iran, Western Siberia",Pollinator,30-34 mm wingspan
1421,Insecta,Lepidoptera,Lycaenidae,Lycaena,virgaureae,2693,"Europe, Kazakhstan, Mongolia, China, Korea",Pollinator,approximately 30-34 millimeters in wingspan
1422,Insecta,Lepidoptera,Lycaenidae,Lycaena,tityrus,2483,"Europe, Turkey, Iraq, Iran, North Africa, Caucasus, Transcaucasia, Western Asia",Pollinator,Approximately 30-34 millimeters wingspan when the insect is adult
1423,Insecta,Lepidoptera,Lycaenidae,Lycaena,heteronea,209,"United States, Canada, Mexico, Guatemala, Honduras",Pollinator,20-30 millimeters
1424,Insecta,Lepidoptera,Lycaenidae,Lycaena,xanthoides,148,Enter comma separated list of top 5 places where this insect is found,"Classify this insect into pest, predator, pollinator, parasitoid, decomposer, Indicator species, Invasive species",Enter size in millimeter when the insect is adult
1425,Insecta,Lepidoptera,Lycaenidae,Lycaena,arota,162,"United States, Canada, Mexico, Costa Rica, Panama",Pollinator,15-35 mm wingspan
1426,Insecta,Lepidoptera,Lycaenidae,Lycaena,hippothoe,765,"Europe, the Urals, Kazakhstan, North Asia, West Siberia",Pollinator,Approximately 30-34 millimeters wingspan when the insect is adult
1427,Insecta,Lepidoptera,Lycaenidae,Lycaena,mariposa,176,Not specified,Pollinator,Not specified
1428,Insecta,Lepidoptera,Lycaenidae,Lycaena,gorgon,193,Enter comma-separated list of top 5 places where this insect is found,Pollinator,Enter size in millimeter when the insect is adult
1429,Insecta,Lepidoptera,Lycaenidae,Megisba,malaya,325,"India, Nepal, Sri Lanka, Myanmar, and Thailand",Pollinator,Wingspan averages around 30-40 millimeters
1430,Insecta,Lepidoptera,Lycaenidae,Nacaduba,kurava,418,"India, Sri Lanka, Myanmar, Thailand, Peninsular Malaysia, Singapore",Pollinator,Approximately 30-40 millimeters in wingspan when the insect is adult
1431,Insecta,Lepidoptera,Lycaenidae,Parrhasius,m-album,700,"United States, Mexico, Argentina, Paraguay, Uruguay",Pollinator,35-40 millimeters
1432,Insecta,Lepidoptera,Lycaenidae,Plebejus,idas,992,"USA, Canada, Europe, Asia, North Africa",Pollinator,Wingspan ranges from 20 to 34 millimeters
1433,Insecta,Lepidoptera,Lycaenidae,Plebejus,melissa,1052,"Canada, United States, Mexico, Russia, Mongolia",Pollinator,25-35 millimeters
1434,Insecta,Lepidoptera,Lycaenidae,Plebejus,samuelis,388,"New York, Michigan, Wisconsin, Indiana, New Hampshire",Pollinator,Adult wingspan ranges from 22 to 32 millimeters
1435,Insecta,Lepidoptera,Lycaenidae,Plebejus,argus,2599,"United Kingdom, France, Sweden, Spain, Russia",Pollinator,25 to 30
1436,Insecta,Lepidoptera,Lycaenidae,Polyommatus,amandus,904,"Russia, Kazakhstan, Mongolia, China, Europe",Pollinator,The wingspan ranges from 30 to 34 millimeters
1437,Insecta,Lepidoptera,Lycaenidae,Polyommatus,coridon,2858,"United Kingdom, France, Germany, Italy, Russia",Pollinator,30-36 mm wingspan
1438,Insecta,Lepidoptera,Lycaenidae,Polyommatus,icarus,14491,"Europe, North Africa, Ireland, Russia, Central Asia",Pollinator,Wingspan of approximately 25-36 millimeters
1439,Insecta,Lepidoptera,Lycaenidae,Polyommatus,bellargus,2957,"United Kingdom, France, Spain, Italy, Greece",Pollinator,30-36 mm wingspan
1440,Insecta,Lepidoptera,Lycaenidae,Prosotas,dubiosa,779,"India, Myanmar, Thailand, Laos, Vietnam",Pollinator,Approximately 25-30 millimeters wingspan when the insect is adult
1441,Insecta,Lepidoptera,Lycaenidae,Prosotas,nora,630,"India, Sri Lanka, Myanmar, Philippines, Australia",Pollinator,20-30 millimeters
1442,Insecta,Lepidoptera,Lycaenidae,Pseudozizeeria,maha,2746,"Japan, China, Taiwan, Korea, Russia",Pollinator,15-25 mm
1443,Insecta,Lepidoptera,Lycaenidae,Satyrium,calanus,2978,"United States, Canada, Mexico, Honduras, Guatemala",Pollinator,25-30 mm
1444,Insecta,Lepidoptera,Lycaenidae,Satyrium,californica,495,"California, Oregon, Washington, Nevada, British Columbia",Pollinator,Approximately 20-30 mm wingspan when the insect is adult
1445,Insecta,Lepidoptera,Lycaenidae,Satyrium,sylvinus,512,"California, Oregon, Washington, British Columbia, Idaho",Pollinator,Not specified
1446,Insecta,Lepidoptera,Lycaenidae,Satyrium,favonius,713,"United States, Mexico, North Carolina, Georgia, Florida",Pollinator,Approximately 25 to 35 millimeters
1447,Insecta,Lepidoptera,Lycaenidae,Satyrium,titus,832,"United States, Canada, Mexico, Guatemala, Honduras",Pollinator,25-30 mm wingspan
1448,Insecta,Lepidoptera,Lycaenidae,Satyrium,saepium,860,"Western North America, California, Nevada, Oregon, Washington, British Columbia",Pollinator,Approximately 25-30 millimeters
1449,Insecta,Lepidoptera,Lycaenidae,Satyrium,edwardsii,396,"United States, Canada, Michigan, Ohio, Missouri",Pollinator,Approximately 25 to 35 millimeters
1450,Insecta,Lepidoptera,Lycaenidae,Satyrium,liparops,879,"Canada, United States, Mexico",Pollinator,Approximately 25-30 millimeters
1451,Insecta,Lepidoptera,Lycaenidae,Satyrium,behrii,384,"Western United States, Northern California, Oregon, Washington State, Idaho, Montana",Pollinator,Approximately 30-40 mm wingspan when the insect is adult
1452,Insecta,Lepidoptera,Lycaenidae,Satyrium,spini,639,"Europe, North Africa, Asia Minor, Central Asia, Siberia",Pollinator,Approximately 30-35 millimeters
1453,Insecta,Lepidoptera,Lycaenidae,Satyrium,acadica,466,"Canada, United States, particularly in the Northeast and around the Great Lakes region",Pollinator,25-30 mm wingspan as an adult
1454,Insecta,Lepidoptera,Lycaenidae,Strymon,melinus,20511,"United States, Mexico, Central America, Colombia, Canada",Pollinator,25-30 mm wingspan as an adult
1455,Insecta,Lepidoptera,Lycaenidae,Strymon,istapa,1768,"Mexico, Central America, Southwestern United States, Colombia, Venezuela",Pollinator,Approximately 25-30 millimeters
1456,Insecta,Lepidoptera,Lycaenidae,Talicada,nyseus,600,"India, Sri Lanka, Myanmar, Indonesia, Philippines",Pollinator,About 15 to 35 millimeters
1457,Insecta,Lepidoptera,Lycaenidae,Thecla,betulae,811,"United Kingdom, Denmark, Sweden, Russia, Japan",Pollinator,36-42 millimeters
1458,Insecta,Lepidoptera,Lycaenidae,Zizeeria,knysna,808,"South Asia, Southeast Asia, Sub-Saharan Africa, Southern Europe, Northern Australia",Pollinator,15-23 mm
1459,Insecta,Lepidoptera,Lycaenidae,Zizeeria,karsandra,606,"India, Southeast Asia, Australia, South Africa, Madagascar",Pollinator,Approximately 13-23 millimeters
1460,Insecta,Lepidoptera,Lycaenidae,Zizina,otis,2061,"Australia, Africa, South Asia, Southeast Asia, Pacific Islands",Pollinator,Approximately 20-30 millimeters
1461,Insecta,Lepidoptera,Lycaenidae,Zizina,labradus,240,"Australia, New Zealand, Lord Howe Island, New Caledonia, Vanuatu",Pollinator,Wingspan approx. 20-30 mm
1462,Insecta,Lepidoptera,Lycaenidae,Zizula,hylax,1408,"Australia, Africa, South Asia, Southeast Asia, and parts of the Pacific Islands",Pollinator,Approximately 13-15 millimeters
